,venue,innings,batting_team,bowling_team,total_runs
1328,Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Delhi Daredevils,56
1329,Maharashtra Cricket Association Stadium,2,Delhi Daredevils,Chennai Super Kings,59
1330,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,43
1331,M.Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,40
1332,Arun Jaitley Stadium,1,Delhi Daredevils,Rajasthan Royals,62
1333,Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Daredevils,79
1334,Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,57
1335,Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,56
1336,Holkar Cricket Stadium,1,Kings XI Punjab,Mumbai Indians,49
1337,Holkar Cricket Stadium,2,Mumbai Indians,Kings XI Punjab,39
1338,Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,47
1339,Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,42
1340,Rajiv Gandhi International Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,60
1341,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,55
1342,Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,56
1343,Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,47
1344,Holkar Cricket Stadium,1,Rajasthan Royals,Kings XI Punjab,45
1345,Holkar Cricket Stadium,2,Kings XI Punjab,Rajasthan Royals,34
1346,Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,38
1347,Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,55
1348,Sawai Mansingh Stadium,1,Rajasthan Royals,Kings XI Punjab,63
1349,Sawai Mansingh Stadium,2,Kings XI Punjab,Rajasthan Royals,33
1350,Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,47
1351,Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,47
1352,Arun Jaitley Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,38
1353,Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,51
1354,Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,55
1355,Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,57
1356,Holkar Cricket Stadium,1,Kolkata Knight Riders,Kings XI Punjab,59
1357,Holkar Cricket Stadium,2,Kings XI Punjab,Kolkata Knight Riders,58
1358,Arun Jaitley Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,44
1359,Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,58
1360,Maharashtra Cricket Association Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,28
1361,Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,53
1362,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,51
1363,Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,51
1364,Holkar Cricket Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,47
1365,Holkar Cricket Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,66
1366,Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,68
1367,Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,50
1368,Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,60
1369,Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,57
1370,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,44
1371,M.Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,56
1372,Arun Jaitley Stadium,1,Delhi Daredevils,Chennai Super Kings,39
1373,Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Daredevils,44
1374,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,45
1375,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,55
1376,Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,59
1377,Rajiv Gandhi International Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,66
1378,Arun Jaitley Stadium,1,Delhi Daredevils,Mumbai Indians,46
1379,Arun Jaitley Stadium,2,Mumbai Indians,Delhi Daredevils,55
1380,Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Chennai Super Kings,29
1381,Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Kings XI Punjab,33
1382,Wankhede Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,47
1383,Wankhede Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,33
1384,Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,46
1385,Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,51
1386,Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,45
1387,Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,67
1388,Wankhede Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,41
1389,Wankhede Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,34
1390,MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,33
1391,MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,16
1392,Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,54
1393,Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,47
1394,Wankhede Stadium,1,Delhi Capitals,Mumbai Indians,45
1395,Wankhede Stadium,2,Mumbai Indians,Delhi Capitals,46
1396,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,32
1397,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,64
1398,Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,43
1399,Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,58
1400,Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,53
1401,Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,51
1402,M.Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,52
1403,M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,60
1404,Rajiv Gandhi International Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,35
1405,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,69
1406,Punjab Cricket Association IS Bindra Stadium,1,Mumbai Indians,Kings XI Punjab,62
1407,Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Mumbai Indians,38
1408,Arun Jaitley Stadium,1,Kolkata Knight Riders,Delhi Capitals,36
1409,Arun Jaitley Stadium,2,Delhi Capitals,Kolkata Knight Riders,45
1410,Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,59
1411,Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,30
1412,MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,29
1413,MA Chidambaram Stadium,2,Rajasthan Royals,Chennai Super Kings,44
1414,Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Delhi Capitals,54
1415,Punjab Cricket Association IS Bindra Stadium,2,Delhi Capitals,Kings XI Punjab,49
1416,Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,48
1417,Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,55
1418,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,40
1419,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,34
1420,Arun Jaitley Stadium,1,Delhi Capitals,Sunrisers Hyderabad,36
1421,Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Capitals,62
1422,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,53
1423,M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,59
1424,MA Chidambaram Stadium,1,Chennai Super Kings,Kings XI Punjab,54
1425,MA Chidambaram Stadium,2,Kings XI Punjab,Chennai Super Kings,46
1426,Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,30
1427,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,39
1428,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,40
1429,M.Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,53
1430,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,28
1431,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,65
1432,Punjab Cricket Association IS Bindra Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,27
1433,Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,38
1434,MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,29
1435,MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,40
1436,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,50
1437,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,50
1438,Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,54
1439,Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,24
1440,Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,41
1441,Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,57
1442,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,57
1443,Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,59
1444,Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,60
1445,Punjab Cricket Association IS Bindra Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,63
1446,Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,49
1447,Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,44
1448,Rajiv Gandhi International Stadium,1,Delhi Capitals,Sunrisers Hyderabad,51
1449,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Capitals,40
1450,Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,45
1451,Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,67
1452,Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Rajasthan Royals,39
1453,Punjab Cricket Association IS Bindra Stadium,2,Rajasthan Royals,Kings XI Punjab,54
1454,Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,41
1455,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,68
1456,Arun Jaitley Stadium,1,Mumbai Indians,Delhi Capitals,56
1457,Arun Jaitley Stadium,2,Delhi Capitals,Mumbai Indians,48
1458,Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,42
1459,Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,37
1460,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,45
1461,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,60
1462,Arun Jaitley Stadium,1,Kings XI Punjab,Delhi Capitals,50
1463,Arun Jaitley Stadium,2,Delhi Capitals,Kings XI Punjab,60
1464,Rajiv Gandhi International Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,61
1465,Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,72
1466,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,49
1467,M.Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,32
1468,Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Capitals,52
1469,Sawai Mansingh Stadium,2,Delhi Capitals,Rajasthan Royals,59
1470,MA Chidambaram Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,54
1471,MA Chidambaram Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,49
1472,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,70
1473,M.Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,68
1474,Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,32
1475,Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,55
1476,MA Chidambaram Stadium,1,Mumbai Indians,Chennai Super Kings,45
1477,MA Chidambaram Stadium,2,Chennai Super Kings,Mumbai Indians,40
1478,Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,51
1479,Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,60
1480,Arun Jaitley Stadium,1,Delhi Capitals,Royal Challengers Bangalore,59
1481,Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Capitals,64
1482,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,50
1483,Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,41
1484,Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,77
1485,Rajiv Gandhi International Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,44
1486,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,62
1487,M.Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,41
1488,MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,27
1489,MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,59
1490,Wankhede Stadium,1,Mumbai Indians,Sunrisers Hyderabad,44
1491,Wankhede Stadium,2,Sunrisers Hyderabad,Mumbai Indians,59
1492,Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Kolkata Knight Riders,41
1493,Punjab Cricket Association IS Bindra Stadium,2,Kolkata Knight Riders,Kings XI Punjab,62
1494,Arun Jaitley Stadium,1,Rajasthan Royals,Delhi Capitals,30
1495,Arun Jaitley Stadium,2,Delhi Capitals,Rajasthan Royals,46
1496,M.Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,52
1497,M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,49
1498,Punjab Cricket Association IS Bindra Stadium,1,Chennai Super Kings,Kings XI Punjab,42
1499,Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Chennai Super Kings,67
1500,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,49
1501,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,46
1502,MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,32
1503,MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,44
1504,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Delhi Capitals,54
1505,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Delhi Capitals,Sunrisers Hyderabad,55
1506,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Capitals,Chennai Super Kings,41
1507,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Chennai Super Kings,Delhi Capitals,42
1508,Rajiv Gandhi International Stadium,1,Mumbai Indians,Chennai Super Kings,45
1509,Rajiv Gandhi International Stadium,2,Chennai Super Kings,Mumbai Indians,53
1510,Sheikh Zayed Stadium,1,Mumbai Indians,Chennai Super Kings,51
1511,Sheikh Zayed Stadium,2,Chennai Super Kings,Mumbai Indians,31
1512,Dubai International Cricket Stadium,1,Delhi Capitals,Kings XI Punjab,23
1513,Dubai International Cricket Stadium,2,Kings XI Punjab,Delhi Capitals,35
1514,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,17
1515,Sheikh Zayed Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,44
1516,Sharjah Cricket Stadium,1,Mumbai Indians,Sunrisers Hyderabad,48
1517,Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Mumbai Indians,55
1518,Sharjah Cricket Stadium,1,Rajasthan Royals,Chennai Super Kings,54
1519,Sharjah Cricket Stadium,2,Chennai Super Kings,Rajasthan Royals,53
1520,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Delhi Capitals,36
1521,Sheikh Zayed Stadium,2,Delhi Capitals,Kolkata Knight Riders,36
1522,Dubai International Cricket Stadium,1,Kings XI Punjab,Sunrisers Hyderabad,47
1523,Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Kings XI Punjab,52
1524,Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Mumbai Indians,54
1525,Sheikh Zayed Stadium,2,Mumbai Indians,Royal Challengers Bangalore,41
1526,Sharjah Cricket Stadium,1,Delhi Capitals,Rajasthan Royals,50
1527,Sharjah Cricket Stadium,2,Rajasthan Royals,Delhi Capitals,41
1528,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Chennai Super Kings,51
1529,Sheikh Zayed Stadium,2,Chennai Super Kings,Kolkata Knight Riders,54
1530,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,30
1531,Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,58
1532,Sheikh Zayed Stadium,1,Mumbai Indians,Kings XI Punjab,41
1533,Sheikh Zayed Stadium,2,Kings XI Punjab,Mumbai Indians,41
1534,Dubai International Cricket Stadium,1,Kolkata Knight Riders,Rajasthan Royals,42
1535,Dubai International Cricket Stadium,2,Rajasthan Royals,Kolkata Knight Riders,39
1536,Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Delhi Capitals,40
1537,Sheikh Zayed Stadium,2,Delhi Capitals,Royal Challengers Bangalore,53
1538,Sheikh Zayed Stadium,1,Kings XI Punjab,Chennai Super Kings,53
1539,Sheikh Zayed Stadium,2,Chennai Super Kings,Kings XI Punjab,57
1540,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,26
1541,Dubai International Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,36
1542,Sheikh Zayed Stadium,1,Mumbai Indians,Kolkata Knight Riders,59
1543,Sheikh Zayed Stadium,2,Kolkata Knight Riders,Mumbai Indians,33
1544,Sharjah Cricket Stadium,1,Chennai Super Kings,Delhi Capitals,39
1545,Sharjah Cricket Stadium,2,Delhi Capitals,Chennai Super Kings,41
1546,Dubai International Cricket Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,48
1547,Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,36
1548,Sheikh Zayed Stadium,1,Mumbai Indians,Rajasthan Royals,57
1549,Sheikh Zayed Stadium,2,Rajasthan Royals,Mumbai Indians,31
1550,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,48
1551,Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,54
1552,Dubai International Cricket Stadium,1,Kings XI Punjab,Chennai Super Kings,46
1553,Dubai International Cricket Stadium,2,Chennai Super Kings,Kings XI Punjab,60
1554,Sheikh Zayed Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,38
1555,Sheikh Zayed Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,50
1556,Sharjah Cricket Stadium,1,Delhi Capitals,Kolkata Knight Riders,57
1557,Sharjah Cricket Stadium,2,Kolkata Knight Riders,Delhi Capitals,58
1558,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,42
1559,Dubai International Cricket Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,36
1560,Dubai International Cricket Stadium,1,Mumbai Indians,Kings XI Punjab,43
1561,Dubai International Cricket Stadium,2,Kings XI Punjab,Mumbai Indians,51
1562,Dubai International Cricket Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,47
1563,Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,52
1564,Dubai International Cricket Stadium,1,Delhi Capitals,Royal Challengers Bangalore,63
1565,Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Delhi Capitals,43
1566,Sharjah Cricket Stadium,1,Kolkata Knight Riders,Kings XI Punjab,54
1567,Sharjah Cricket Stadium,2,Kings XI Punjab,Kolkata Knight Riders,36
1568,Sharjah Cricket Stadium,1,Chennai Super Kings,Mumbai Indians,24
1569,Sharjah Cricket Stadium,2,Mumbai Indians,Chennai Super Kings,52
1570,Dubai International Cricket Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,51
1571,Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,47
1572,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Kings XI Punjab,25
1573,Sheikh Zayed Stadium,2,Kings XI Punjab,Kolkata Knight Riders,47
1574,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Delhi Capitals,77
1575,Dubai International Cricket Stadium,2,Delhi Capitals,Sunrisers Hyderabad,54
1576,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,36
1577,Dubai International Cricket Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,26
1578,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Mumbai Indians,33
1579,Sheikh Zayed Stadium,2,Mumbai Indians,Kolkata Knight Riders,51
1580,Sharjah Cricket Stadium,1,Kings XI Punjab,Rajasthan Royals,60
1581,Sharjah Cricket Stadium,2,Rajasthan Royals,Kings XI Punjab,69
1582,Dubai International Cricket Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,44
1583,Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,40
1584,Sheikh Zayed Stadium,1,Delhi Capitals,Mumbai Indians,46
1585,Sheikh Zayed Stadium,2,Mumbai Indians,Delhi Capitals,44
1586,Dubai International Cricket Stadium,1,Kolkata Knight Riders,Rajasthan Royals,55
1587,Dubai International Cricket Stadium,2,Rajasthan Royals,Kolkata Knight Riders,41
1588,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,57
1589,Sharjah Cricket Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,56
1590,Sheikh Zayed Stadium,1,Sunrisers Hyderabad,Delhi Capitals,38
1591,Sheikh Zayed Stadium,2,Delhi Capitals,Sunrisers Hyderabad,34
1592,Sheikh Zayed Stadium,1,Chennai Super Kings,Rajasthan Royals,43
1593,Sheikh Zayed Stadium,2,Rajasthan Royals,Chennai Super Kings,31
1594,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,53
1595,Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,48
1596,Dubai International Cricket Stadium,1,Delhi Capitals,Mumbai Indians,22
1597,Dubai International Cricket Stadium,2,Mumbai Indians,Delhi Capitals,38
1598,Dubai International Cricket Stadium,1,Kolkata Knight Riders,Chennai Super Kings,48
1599,Dubai International Cricket Stadium,2,Chennai Super Kings,Kolkata Knight Riders,44
1600,Sheikh Zayed Stadium,1,Kings XI Punjab,Rajasthan Royals,53
1601,Sheikh Zayed Stadium,2,Rajasthan Royals,Kings XI Punjab,66
1602,Sharjah Cricket Stadium,1,Mumbai Indians,Sunrisers Hyderabad,48
1603,Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Mumbai Indians,56
1604,Dubai International Cricket Stadium,1,Delhi Capitals,Chennai Super Kings,36
1605,Dubai International Cricket Stadium,2,Chennai Super Kings,Delhi Capitals,34
1606,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,47
1607,Sharjah Cricket Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,43
1608,Sheikh Zayed Stadium,1,Mumbai Indians,Rajasthan Royals,59
1609,Sheikh Zayed Stadium,2,Rajasthan Royals,Mumbai Indians,55
1610,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,58
1611,Dubai International Cricket Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,45
1612,Dubai International Cricket Stadium,1,Delhi Capitals,Rajasthan Royals,47
1613,Dubai International Cricket Stadium,2,Rajasthan Royals,Delhi Capitals,50
1614,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,46
1615,Dubai International Cricket Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,48
1616,Sheikh Zayed Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,40
1617,Sheikh Zayed Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,52
1618,Dubai International Cricket Stadium,1,Delhi Capitals,Kings XI Punjab,53
1619,Dubai International Cricket Stadium,2,Kings XI Punjab,Delhi Capitals,57
1620,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Mumbai Indians,59
1621,Dubai International Cricket Stadium,2,Mumbai Indians,Royal Challengers Bangalore,35
1622,Dubai International Cricket Stadium,1,Mumbai Indians,Delhi Capitals,63
1623,Dubai International Cricket Stadium,2,Delhi Capitals,Mumbai Indians,32
1624,Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,32
1625,Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,48
1626,Sheikh Zayed Stadium,1,Delhi Capitals,Sunrisers Hyderabad,64
1627,Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Delhi Capitals,49
1628,Dubai International Cricket Stadium,1,Delhi Capitals,Mumbai Indians,41
1629,Dubai International Cricket Stadium,2,Mumbai Indians,Delhi Capitals,61
1630,"MA Chidambaram Stadium, Chepauk, Chennai",1,Mumbai Indians,Royal Challengers Bangalore,41
1631,"MA Chidambaram Stadium, Chepauk, Chennai",2,Royal Challengers Bangalore,Mumbai Indians,46
1632,"Wankhede Stadium, Mumbai",1,Chennai Super Kings,Delhi Capitals,33
1633,"Wankhede Stadium, Mumbai",2,Delhi Capitals,Chennai Super Kings,65
1634,"MA Chidambaram Stadium, Chepauk, Chennai",1,Kolkata Knight Riders,Sunrisers Hyderabad,50
1635,"MA Chidambaram Stadium, Chepauk, Chennai",2,Sunrisers Hyderabad,Kolkata Knight Riders,35
